,Price,Levy,Manufacturer,Prod. year,Category,Leather interior,Fuel type,Mileage,Cylinders,Gear box type,Drive wheels,Doors,Wheel,Airbags,Engine volume int,Turbo
0,13328,1399,LEXUS,2010,Jeep,0,Hybrid,186005,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
1,16621,1018,CHEVROLET,2011,Jeep,1,Petrol,192000,6.0,Tiptronic,4x4,04-May,0,8,3.0,0.0
2,8467,0,HONDA,2006,Hatchback,1,Petrol,200000,4.0,Variator,Front,04-May,1,2,1.3,0.0
3,3607,862,FORD,2011,Jeep,0,Hybrid,168966,4.0,Automatic,4x4,04-May,0,0,2.5,0.0
4,11726,446,HONDA,2014,Hatchback,0,Petrol,91901,4.0,Automatic,Front,04-May,0,4,1.3,0.0
5,39493,891,HYUNDAI,2016,Jeep,0,Diesel,160931,4.0,Automatic,Front,04-May,0,4,2.0,0.0
6,1803,761,TOYOTA,2010,Hatchback,0,Hybrid,258909,4.0,Automatic,Front,04-May,0,12,1.8,0.0
7,549,751,HYUNDAI,2013,Sedan,0,Petrol,216118,4.0,Automatic,Front,04-May,0,12,2.4,0.0
8,1098,394,TOYOTA,2014,Sedan,0,Hybrid,398069,4.0,Automatic,Front,04-May,0,12,2.5,0.0
9,26657,0,LEXUS,2007,Jeep,0,Petrol,128500,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
10,941,1053,MERCEDES-BENZ,2014,Sedan,0,Diesel,184467,6.0,Automatic,Rear,04-May,0,12,3.5,0.0
11,8781,0,FORD,1999,Microbus,1,CNG,0,8.0,Manual,Rear,02-Mar,0,0,4.0,0.0
12,3000,0,OPEL,1997,Goods wagon,1,CNG,350000,4.0,Manual,Front,04-May,0,4,1.6,0.0
13,1019,1055,LEXUS,2013,Jeep,0,Hybrid,138038,6.0,Automatic,Front,04-May,0,12,3.5,0.0
14,59464,891,HYUNDAI,2016,Jeep,0,Diesel,76000,4.0,Automatic,Front,04-May,0,4,2.0,0.0
15,549,1079,TOYOTA,2018,Jeep,0,Petrol,74146,4.0,Automatic,Front,04-May,0,12,2.0,0.0
16,7683,810,HYUNDAI,2016,Sedan,0,Petrol,121840,4.0,Automatic,Front,04-May,0,12,1.8,0.0
17,28382,810,HYUNDAI,2016,Sedan,0,Petrol,54317,4.0,Automatic,Front,04-May,0,4,1.8,0.0
18,549,2386,HYUNDAI,2006,Sedan,0,Petrol,295059,6.0,Automatic,Rear,04-May,0,12,3.3,0.0
19,941,1850,LEXUS,2008,Jeep,0,Hybrid,364523,6.0,Automatic,4x4,04-May,0,12,3.5,0.0
20,18826,531,HYUNDAI,2012,Sedan,0,Petrol,112645,4.0,Automatic,Front,04-May,0,4,1.6,0.0
21,20698,586,TOYOTA,2012,Sedan,0,Plug-in Hybrid,187000,4.0,Automatic,Front,04-May,0,12,1.8,0.0
22,17562,1249,TOYOTA,2017,Sedan,0,Petrol,39709,4.0,Automatic,Front,04-May,0,12,2.5,0.0
23,7840,0,FORD,2001,Microbus,1,Diesel,230000,4.0,Manual,Front,02-Mar,0,0,2.0,1.0
25,20385,0,MERCEDES-BENZ,2006,Sedan,0,Diesel,210000,4.0,Tiptronic,Rear,04-May,0,8,2.2,1.0
26,549,2455,LEXUS,2008,Jeep,0,Petrol,0,8.0,Automatic,4x4,04-May,0,0,4.7,0.0
27,30,0,TOYOTA,2008,Sedan,1,Hybrid,169000,4.0,Automatic,Front,04-May,0,8,1.5,0.0
